timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw
2026/05/28 19:34:08.209, 0, NVIDIA H200, 69, 14, 7259, 143771, 356.74
2026/05/28 19:34:13.239, 0, NVIDIA H200, 75, 15, 7259, 143771, 350.21
2026/05/28 19:34:18.267, 0, NVIDIA H200, 51, 10, 7259, 143771, 366.77
2026/05/28 19:34:23.296, 0, NVIDIA H200, 53, 10, 7259, 143771, 350.28
2026/05/28 19:34:28.327, 0, NVIDIA H200, 61, 11, 7259, 143771, 348.15
2026/05/28 19:34:33.356, 0, NVIDIA H200, 41, 9, 7259, 143771, 350.54
2026/05/28 19:34:38.386, 0, NVIDIA H200, 41, 8, 7259, 143771, 366.25
2026/05/28 19:34:43.414, 0, NVIDIA H200, 75, 15, 7259, 143771, 353.53
2026/05/28 19:34:48.444, 0, NVIDIA H200, 50, 11, 7259, 143771, 346.15
2026/05/28 19:34:53.471, 0, NVIDIA H200, 34, 7, 7259, 143771, 351.15
2026/05/28 19:34:58.501, 0, NVIDIA H200, 52, 10, 7259, 143771, 360.74
2026/05/28 19:35:03.529, 0, NVIDIA H200, 0, 0, 7259, 143771, 281.40
2026/05/28 19:35:08.558, 0, NVIDIA H200, 75, 15, 7259, 143771, 342.71
2026/05/28 19:35:13.584, 0, NVIDIA H200, 41, 8, 7259, 143771, 356.61
2026/05/28 19:35:18.614, 0, NVIDIA H200, 76, 15, 7259, 143771, 355.80
2026/05/28 19:35:23.642, 0, NVIDIA H200, 10, 2, 7315, 143771, 173.14
2026/05/28 19:35:28.669, 0, NVIDIA H200, 14, 0, 7375, 143771, 128.71
2026/05/28 19:35:33.696, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.93
2026/05/28 19:35:38.723, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.58
2026/05/28 19:35:43.749, 0, NVIDIA H200, 47, 10, 7375, 143771, 219.73
2026/05/28 19:35:48.778, 0, NVIDIA H200, 13, 0, 7375, 143771, 125.79
2026/05/28 19:35:53.805, 0, NVIDIA H200, 14, 0, 7375, 143771, 125.75
2026/05/28 19:35:58.831, 0, NVIDIA H200, 14, 0, 7375, 143771, 125.44
2026/05/28 19:36:03.859, 0, NVIDIA H200, 14, 0, 7375, 143771, 125.39
2026/05/28 19:36:08.885, 0, NVIDIA H200, 40, 8, 7375, 143771, 209.16
