timestamp,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw
2026/05/31 01:17:17.816, 0, 0, 0, 2753, 143771, 131.58
2026/05/31 01:17:27.843, 0, 0, 0, 2753, 143771, 131.39
2026/05/31 01:17:37.867, 0, 0, 0, 2753, 143771, 132.24
2026/05/31 01:17:47.894, 0, 0, 0, 2753, 143771, 131.29
2026/05/31 01:17:57.956, 0, 0, 0, 2753, 143771, 131.24
2026/05/31 01:18:07.983, 0, 0, 0, 2753, 143771, 188.42
2026/05/31 01:18:18.010, 0, 0, 0, 2753, 143771, 131.35
2026/05/31 01:18:28.036, 0, 0, 0, 2753, 143771, 131.28
2026/05/31 01:18:38.063, 0, 0, 0, 2753, 143771, 245.27
2026/05/31 01:18:48.087, 0, 0, 0, 2753, 143771, 131.41
2026/05/31 01:18:58.112, 0, 0, 0, 2753, 143771, 131.29
2026/05/31 01:19:08.136, 0, 41, 8, 2753, 143771, 246.03
2026/05/31 01:19:18.163, 0, 0, 0, 2753, 143771, 131.59
2026/05/31 01:19:28.189, 0, 0, 0, 2753, 143771, 131.33
2026/05/31 01:19:38.216, 0, 46, 9, 2753, 143771, 180.37
2026/05/31 01:19:48.242, 0, 0, 0, 2753, 143771, 147.99
2026/05/31 01:19:58.270, 0, 0, 0, 2753, 143771, 131.36
2026/05/31 01:20:08.326, 0, 0, 0, 2753, 143771, 131.24
2026/05/31 01:20:18.361, 0, 0, 0, 2753, 143771, 197.75
2026/05/31 01:20:28.386, 0, 0, 0, 2753, 143771, 131.42
2026/05/31 01:20:38.412, 0, 0, 0, 2753, 143771, 131.31
2026/05/31 01:20:48.436, 0, 0, 0, 2753, 143771, 234.41
2026/05/31 01:20:58.462, 0, 0, 0, 2753, 143771, 131.44
2026/05/31 01:21:08.487, 0, 0, 0, 2753, 143771, 131.27
2026/05/31 01:21:18.511, 0, 0, 0, 2753, 143771, 245.45
2026/05/31 01:21:28.540, 0, 0, 0, 2753, 143771, 131.46
2026/05/31 01:21:38.566, 0, 0, 0, 2753, 143771, 131.32
2026/05/31 01:21:48.592, 0, 47, 10, 2753, 143771, 229.86
2026/05/31 01:21:58.618, 0, 0, 0, 2753, 143771, 131.51
2026/05/31 01:22:08.645, 0, 0, 0, 2753, 143771, 131.30
2026/05/31 01:22:18.670, 0, 48, 10, 2753, 143771, 184.95
2026/05/31 01:22:28.696, 0, 0, 0, 2753, 143771, 143.10
2026/05/31 01:22:38.723, 0, 0, 0, 2753, 143771, 131.37
2026/05/31 01:22:48.757, 0, 0, 0, 2753, 143771, 131.23
2026/05/31 01:22:58.782, 0, 0, 0, 2753, 143771, 199.14
2026/05/31 01:23:08.812, 0, 0, 0, 2753, 143771, 131.38
2026/05/31 01:23:18.839, 0, 0, 0, 2753, 143771, 131.23
2026/05/31 01:23:28.864, 0, 0, 0, 2753, 143771, 247.18
2026/05/31 01:23:38.889, 0, 0, 0, 2753, 143771, 131.42
2026/05/31 01:23:48.915, 0, 0, 0, 2753, 143771, 131.30
2026/05/31 01:23:58.941, 0, 43, 9, 2753, 143771, 232.34
2026/05/31 01:24:08.967, 0, 0, 0, 2753, 143771, 131.65
